project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_volume	analytes.concentration	analytes.dna_integrity_number	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.ribosomal_rna_28s_18s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-PRAD	f8a42feb-fbc9-4a13-bad5-1dcefca2a9bf	TCGA-EJ-5511	1da89009-5dbe-4d62-9406-36330f47b738	TCGA-EJ-5511-01A	63a06535-02a7-4bfc-9138-57815a9f80cb	TCGA-EJ-5511-01A-01	1.9	'--	6af960b2-f254-4ba3-99ea-e0c873863f87	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5511-01A-01D	'--
TCGA-PRAD	f8a42feb-fbc9-4a13-bad5-1dcefca2a9bf	TCGA-EJ-5511	5d8c39a9-ac3c-46d2-97de-dfc1f512ec40	TCGA-EJ-5511-10A	42f6e108-d018-469e-b111-4e0f2966a210	TCGA-EJ-5511-10A-01	1.9	'--	b302af67-f3f2-476f-8bca-7b6e636f5f4d	'--	DNA	'--	0.17	'--	Chemical Lysis DNA Extraction	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5511-10A-01D	'--
TCGA-PRAD	f8a42feb-fbc9-4a13-bad5-1dcefca2a9bf	TCGA-EJ-5511	5d8c39a9-ac3c-46d2-97de-dfc1f512ec40	TCGA-EJ-5511-10A	42f6e108-d018-469e-b111-4e0f2966a210	TCGA-EJ-5511-10A-01	'--	'--	ff751577-aa16-4a56-a4fe-4bb7ffc7193c	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5511-10A-01W	'--
TCGA-PRAD	4fe004e5-49f9-4336-a690-6ebad512c813	TCGA-EJ-7791	57ed8a64-46f9-4e1f-8550-cef121a6bbc6	TCGA-EJ-7791-01A	0cf63886-46ff-40fb-bb78-0bfc15755c80	TCGA-EJ-7791-01A-11	'--	'--	02c90bf2-ba99-4c4b-9ca7-27f76bd35308	'--	RNA	'--	0.15	'--	'--	'--	'--	'--	'--	UV Spec	released	TCGA-EJ-7791-01A-11R	'--
TCGA-PRAD	4fe004e5-49f9-4336-a690-6ebad512c813	TCGA-EJ-7791	57ed8a64-46f9-4e1f-8550-cef121a6bbc6	TCGA-EJ-7791-01A	0cf63886-46ff-40fb-bb78-0bfc15755c80	TCGA-EJ-7791-01A-11	'--	'--	756f9cd4-3c88-4911-ac57-70a81b4e65b2	'--	DNA	'--	0.15	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7791-01A-11D	'--
TCGA-PRAD	4fe004e5-49f9-4336-a690-6ebad512c813	TCGA-EJ-7791	57ed8a64-46f9-4e1f-8550-cef121a6bbc6	TCGA-EJ-7791-01A	0cf63886-46ff-40fb-bb78-0bfc15755c80	TCGA-EJ-7791-01A-11	'--	'--	855f621a-833d-4902-9b73-fc87391f6108	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7791-01A-11W	'--
TCGA-PRAD	4fe004e5-49f9-4336-a690-6ebad512c813	TCGA-EJ-7791	cfc53498-89ef-43c7-b3d3-483dc09c1a58	TCGA-EJ-7791-10A	0d046c91-e0d6-4e4a-8da5-461078e04d08	TCGA-EJ-7791-10A-01	'--	'--	192159f2-14a3-42b7-8da1-451272e9fdf0	'--	DNA	'--	0.15	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7791-10A-01D	'--
TCGA-PRAD	4fe004e5-49f9-4336-a690-6ebad512c813	TCGA-EJ-7791	cfc53498-89ef-43c7-b3d3-483dc09c1a58	TCGA-EJ-7791-10A	0d046c91-e0d6-4e4a-8da5-461078e04d08	TCGA-EJ-7791-10A-01	'--	'--	eedcc927-210e-4dc7-8b6c-5c4bc41c1ede	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7791-10A-01W	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	2c85548b-d1fd-4fc8-9908-60205a42e080	TCGA-G9-6342-01A	22e98ec0-4db5-4b20-a8e2-d0b15217011b	TCGA-G9-6342-01A-11	1.8	'--	2f17e905-dc21-4b5d-b4ff-26498c6d5a7a	'--	RNA	'--	0.15	'--	mirVana (Allprep DNA) RNA	Yes	1.31	'--	8.0	UV Spec	released	TCGA-G9-6342-01A-11R	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	2c85548b-d1fd-4fc8-9908-60205a42e080	TCGA-G9-6342-01A	22e98ec0-4db5-4b20-a8e2-d0b15217011b	TCGA-G9-6342-01A-11	'--	'--	7b3df0ed-e779-47cf-ad7f-e14bde957265	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	PicoGreen	released	TCGA-G9-6342-01A-11W	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	2c85548b-d1fd-4fc8-9908-60205a42e080	TCGA-G9-6342-01A	22e98ec0-4db5-4b20-a8e2-d0b15217011b	TCGA-G9-6342-01A-11	1.9	'--	9f397960-165a-4454-8a18-e34385ea2dcf	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	'--	UV Spec	released	TCGA-G9-6342-01A-11D	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	56aeaeeb-d549-405a-bf32-e355c2366428	TCGA-G9-6342-11A	913dabe4-663a-426a-ac5f-fc059709395e	TCGA-G9-6342-11A-02	1.8	'--	9a35f133-18fb-41fd-9caa-c129292caa4c	'--	RNA	'--	0.15	'--	mirVana (Allprep DNA) RNA	Yes	1.08	'--	7.4	UV Spec	released	TCGA-G9-6342-11A-02R	'--
